13.8.2    10    217    1    (275, 157)        0.583095189485
13.8.2    10    217    2    (190, 173)    South    1.92353840617
13.8.2    10    217    3    (192, 89)        0.98488578018
13.8.2    10    217    4    (37, 216)        0.1
13.8.2    10    217    5    (379, 158)        0.1
13.8.2    10    217    6    (68, 99)        0.1
13.8.2    10    217    7    (325, 78)        0
13.8.2    10    217    8    (280, 48)        0
13.8.2    10    217    9    (381, 68)        0
13.8.2    10    218    1    (275, 156)        0.67082039325
13.8.2    10    218    2    (190, 173)    South    1.87882942281
13.8.2    10    218    3    (193, 88)        0.860232526704
13.8.2    10    218    4    (117, 89)        0.1
13.8.2    10    218    5    (379, 158)        0.1
13.8.2    10    218    6    (68, 99)        0.1
13.8.2    10    218    7    (325, 78)        0
13.8.2    10    218    8    (280, 48)        0
13.8.2    10    218    9    (381, 68)        0
13.8.3    10    219    1    (275, 157)        0.282842712475
13.8.3    10    219    2    (190, 173)    South    1.56524758425
13.8.3    10    219    3    (191, 85)        0.989949493661
13.8.3    10    219    4    (117, 90)        0.2
13.8.3    10    219    5    (379, 158)        0.1
13.8.3    10    219    6    (69, 101)        0.141421356237
13.8.3    10    219    7    (325, 78)        0.0
13.8.3    10    219    8    (276, 42)        0.0
13.8.3    10    219    9    (382, 75)        0
13.8.3    10    220    1    (275, 157)        0.0
13.8.3    10    220    2    (190, 173)        1.11803398875
13.8.3    10    220    3    (190, 79)    North    1.38924439894
13.8.3    10    220    4    (115, 87)        0.282842712475
13.8.3    10    220    5    (376, 154)        0.5
13.8.3    10    220    6    (325, 78)        0.0
13.8.3    10    220    7    (275, 42)        0.1
13.8.3    10    220    8    (380, 82)        0
13.8.3    10    221    1    (276, 157)        0.1
13.8.3    10    221    2    (190, 173)        1.11803398875
13.8.3    10    221    3    (186, 68)    North    2.21359436212
13.8.3    10    221    4    (115, 87)        0.141421356237
13.8.3    10    221    5    (70, 101)        0.22360679775
13.8.3    10    221    6    (326, 80)        0.22360679775
13.8.3    10    221    7    (276, 41)        0.1
13.8.3    10    221    8    (380, 82)        0
13.8.3    10    222    1    (275, 157)        0.0
13.8.3    10    222    2    (182, 61)    North    2.97321374946
13.8.3    10    222    3    (115, 88)        0.22360679775
13.8.3    10    222    4    (70, 101)        0.141421356237
13.8.3    10    222    5    (326, 80)        0.22360679775
13.8.3    10    222    6    (277, 41)        0.141421356237
13.8.3    10    222    7    (380, 82)        0
13.8.4    10    223    1    (190, 172)        0.1
