13.8.43    10    361    1    (173, 203)    South    3.78549864615
13.8.43    10    361    2    (83, 80)        0.761577310586
13.8.43    10    361    3    (60, 228)        0.728010988928
13.8.43    10    361    4    (380, 59)        0.1
13.8.43    10    361    5    (102, 9)        0.5
13.8.43    10    361    6    (243, 129)        0.4
13.8.43    10    361    7    (64, 64)        0.0
13.8.43    10    361    8    (186, 249)        0.943398113206
13.8.43    10    361    9    (271, 49)        0.0
13.8.43    10    361    10    (327, 193)        0.4472135955
13.8.43    10    361    11    (328, 144)        0
13.8.43    10    361    12    (374, 187)        0
13.8.43    10    362    1    (175, 221)    South    2.76586333719
13.8.43    10    362    2    (83, 80)        0.3
13.8.43    10    362    3    (59, 228)        0.707106781187
13.8.43    10    362    4    (380, 59)        0.1
13.8.43    10    362    5    (102, 9)        0.141421356237
13.8.43    10    362    6    (241, 130)        0.538516480713
13.8.43    10    362    7    (64, 64)        0.0
13.8.43    10    362    8    (187, 249)        1.0
13.8.43    10    362    9    (271, 49)        0.0
13.8.43    10    362    10    (329, 201)        1.16619037897
13.8.43    10    362    11    (328, 144)        0
13.8.43    10    362    12    (374, 187)        0
13.8.43    10    363    1    (175, 221)    South    2.72946881279
13.8.43    10    363    2    (83, 80)        0.1
13.8.43    10    363    3    (59, 228)        0.80622577483
13.8.43    10    363    4    (380, 59)        0.1
13.8.43    10    363    5    (99, 8)        0.316227766017
13.8.43    10    363    6    (242, 132)        0.707106781187
13.8.43    10    363    7    (63, 65)        0.141421356237
13.8.43    10    363    8    (187, 249)        1.0
13.8.43    10    363    9    (271, 49)        0.0
13.8.43    10    363    10    (335, 198)    East    1.38924439894
13.8.43    10    363    11    (328, 145)        0
13.8.43    10    363    12    (373, 187)        0
13.8.44    10    364    1    (177, 229)    South    3.55105618091
13.8.44    10    364    2    (83, 80)        0.1
13.8.44    10    364    3    (58, 228)        0.6
13.8.44    10    364    4    (379, 60)        0.1
13.8.44    10    364    5    (99, 8)        0.316227766017
13.8.44    10    364    6    (242, 133)        0.80622577483
13.8.44    10    364    7    (64, 64)        0.0
13.8.44    10    364    8    (271, 49)        0.0
13.8.44    10    364    9    (335, 198)    East    1.38924439894
13.8.44    10    364    10    (334, 147)        0
13.8.44    10    364    11    (374, 187)        0
13.8.44    10    365    1    (177, 229)    South    2.63058928759
13.8.44    10    365    2    (82, 79)        0.1
13.8.44    10    365    3    (60, 236)    South    1.52970585408
13.8.44    10    365    4    (379, 59)        0.1
13.8.44    10    365    5    (96, 6)        0.632455532034
13.8.44    10    365    6    (242, 132)        0.316227766017
13.8.44    10    365    7    (188, 247)        0.921954445729
13.8.44    10    365    8    (266, 47)        0.538516480713
13.8.44    10    365    9    (335, 199)    East    1.44222051019
13.8.44    10    365    10    (334, 147)        0
13.8.44    10    365    11    (373, 186)        0
13.8.45    10    366    1    (180, 237)    South    3.47131099154
13.8.45    10    366    2    (82, 79)        0.141421356237
13.8.45    10    366    3    (60, 237)        0.9
13.8.45    10    366    4    (383, 60)        0.316227766017
13.8.45    10    366    5    (96, 6)        0.67082039325
