13.7.32    10    105    1    (394, 131)        0.1
13.7.32    10    105    2    (370, 167)        1.01980390272
13.7.32    10    105    3    (220, 105)        0.141421356237
13.7.32    10    105    4    (50, 175)        0.141421356237
13.7.32    10    105    5    (260, 31)        1.07703296143
13.7.32    10    105    6    (80, 72)        0.0
13.7.32    10    105    7    (382, 56)        0
13.7.32    10    106    1    (394, 131)        0.1
13.7.32    10    106    2    (372, 174)    South    1.74642491966
13.7.32    10    106    3    (220, 106)        0.1
13.7.32    10    106    4    (50, 175)        0.1
13.7.32    10    106    5    (260, 31)        0.948683298051
13.7.32    10    106    6    (79, 72)        0.1
13.7.32    10    106    7    (381, 51)        0
13.7.32    10    107    1    (394, 133)        0.2
13.7.32    10    107    2    (372, 174)        0.824621125124
13.7.32    10    107    3    (220, 105)        0.0
13.7.32    10    107    4    (50, 175)        0.0
13.7.32    10    107    5    (261, 32)        1.07703296143
13.7.32    10    107    6    (79, 71)        0.141421356237
13.7.32    10    107    7    (380, 45)        0
13.7.33    10    108    1    (394, 133)        0.2
13.7.33    10    108    2    (374, 178)    South    1.26491106407
13.7.33    10    108    3    (220, 105)        0.0
13.7.33    10    108    4    (51, 174)        0.22360679775
13.7.33    10    108    5    (80, 72)        0.0
13.7.33    10    108    6    (380, 45)        0
13.7.33    10    109    1    (395, 133)        0.22360679775
13.7.33    10    109    2    (377, 182)    South    1.74642491966
13.7.33    10    109    3    (220, 106)        0.1
13.7.33    10    109    4    (264, 35)        1.0295630141
13.7.33    10    109    5    (81, 72)        0.1
13.7.33    10    109    6    (379, 41)        0.0
13.7.33    10    110    1    (395, 134)        0.316227766017
13.7.33    10    110    2    (377, 188)    South    2.21359436212
13.7.33    10    110    3    (219, 105)        0.1
13.7.33    10    110    4    (264, 42)    South    1.67630546142
13.7.33    10    110    5    (80, 72)        0.0
13.7.33    10    111    1    (395, 134)        0.316227766017
13.7.33    10    111    2    (219, 105)        0.141421356237
13.7.33    10    111    3    (264, 42)    South    1.17046999107
13.7.33    10    111    4    (379, 42)        0.1
13.7.33    10    111    5    (157, 238)        0
13.7.33    10    111    6    (89, 74)        0
13.7.33    10    111    7    (38, 206)        0
13.7.33    10    112    1    (377, 188)    South    1.48660687473
13.7.33    10    112    2    (219, 105)        0.1
13.7.33    10    112    3    (264, 42)    South    1.17046999107
13.7.33    10    112    4    (379, 42)        0.1
13.7.33    10    112    5    (152, 241)        0
13.7.33    10    112    6    (89, 74)        0
13.7.33    10    112    7    (38, 206)        0
13.7.34    10    113    1    (377, 188)    South    1.48660687473
13.7.34    10    113    2    (219, 105)        0.1
13.7.34    10    113    3    (379, 41)        0.0
13.7.34    10    113    4    (141, 245)        0
13.7.34    10    113    5    (90, 74)        0
13.7.34    10    113    6    (38, 206)        0
13.7.34    10    114    1    (377, 193)    South    1.52970585408
13.7.34    10    114    2    (264, 42)        1.04403065089
13.7.34    10    114    3    (379, 42)        0.1
13.7.34    10    114    4    (132, 249)        0
13.7.34    10    114    5    (90, 74)        0
13.7.34    10    114    6    (40, 207)        0
13.7.34    10    115    1    (379, 196)    South    1.41421356237
13.7.34    10    115    2    (264, 42)        0.7
13.7.34    10    115    3    (379, 42)        0.1
13.7.34    10    115    4    (120, 254)        0
13.7.34    10    115    5    (90, 73)        0
13.7.34    10    115    6    (40, 207)        0
13.7.34    10    116    1    (381, 201)    South    1.36014705087
13.7.34    10    116    2    (264, 42)        0.0
13.7.34    10    116    3    (379, 42)        0.0
13.7.34    10    116    4    (110, 257)        0
13.7.34    10    116    5    (90, 73)        0
13.7.34    10    116    6    (39, 208)        0
13.7.34    10    116    7    (227, 140)        0
13.7.34    10    116    8    (313, 55)        0
13.7.35    10    117    1    (381, 201)    South    1.36014705087
13.7.35    10    117    2    (266, 46)        0.4472135955
13.7.35    10    117    3    (379, 42)        0.0
13.7.35    10    117    4    (101, 259)        0
13.7.35    10    117    5    (90, 73)        0
13.7.35    10    117    6    (39, 207)        0
13.7.35    10    117    7    (227, 140)        0
13.7.35    10    117    8    (313, 55)        0
13.7.35    10    118    1    (385, 203)    South    1.7
13.7.35    10    118    2    (268, 54)    South    1.26491106407
13.7.35    10    118    3    (379, 41)        0.0
13.7.35    10    118    4    (91, 261)        0
13.7.35    10    118    5    (90, 74)        0
13.7.35    10    118    6    (40, 207)        0
13.7.35    10    118    7    (227, 140)        0
13.7.35    10    118    8    (313, 54)        0
13.7.35    10    119    1    (384, 202)        1.1401754251
13.7.35    10    119    2    (268, 54)    South    1.26491106407
13.7.35    10    119    3    (379, 41)        0.1
13.7.35    10    119    4    (83, 262)        0.0
13.7.35    10    119    5    (90, 74)        0.0
13.7.35    10    119    6    (39, 208)        0.0
13.7.35    10    119    7    (227, 140)        0
13.7.35    10    119    8    (311, 52)        0
13.7.36    10    120    1    (384, 203)        0.860232526704
13.7.36    10    120    2    (273, 58)    South    1.83575597507
13.7.36    10    120    3    (379, 41)        0.1
13.7.36    10    120    4    (69, 263)    West    1.40356688476
13.7.36    10    120    5    (90, 74)        0.0
13.7.36    10    120    6    (39, 207)        0.1
13.7.36    10    120    7    (227, 140)        0
13.7.36    10    120    8    (308, 47)        0
13.7.36    10    121    1    (381, 201)        0.0
13.7.36    10    121    2    (277, 61)    South-East    2.30217288664
13.7.36    10    121    3    (379, 41)        0.1
13.7.36    10    121    4    (60, 262)    West    2.3
13.7.36    10    121    5    (90, 74)        0.0
13.7.36    10    121    6    (39, 206)        0.2
13.7.36    10    121    7    (228, 140)        0
13.7.36    10    121    8    (309, 47)        0
13.7.36    10    121    9    (168, 74)        0
13.7.36    10    122    1    (380, 201)        0.1
13.7.36    10    122    2    (278, 61)    South-East    1.92093727123
13.7.36    10    122    3    (379, 41)        0.1
13.7.36    10    122    4    (91, 74)        0.1
13.7.36    10    122    5    (38, 206)        0.22360679775
13.7.36    10    122    6    (227, 140)        0
13.7.36    10    122    7    (309, 46)        0
13.7.36    10    122    8    (167, 74)        0
13.7.36    10    123    1    (380, 199)        0.640312423743
13.7.36    10    123    2    (277, 61)        1.1401754251
13.7.36    10    123    3    (46, 262)    West    3.7
13.7.36    10    123    4    (90, 73)        0.1
13.7.36    10    123    5    (39, 206)        0.2
13.7.36    10    123    6    (227, 140)        0
13.7.36    10    123    7    (309, 46)        0
13.7.36    10    123    8    (163, 74)        0
13.7.37    10    124    1    (379, 199)        0.583095189485
13.7.37    10    124    2    (277, 61)        1.1401754251
13.7.37    10    124    3    (36, 265)    West    4.70956473573
13.7.37    10    124    4    (91, 73)        0.141421356237
13.7.37    10    124    5    (227, 140)        0.0
13.7.37    10    124    6    (308, 45)        0.0
13.7.37    10    124    7    (160, 74)        0
13.7.37    10    125    1    (380, 199)        0.565685424949
13.7.37    10    125    2    (278, 61)        0.583095189485
13.7.37    10    125    3    (27, 247)    North-West    5.79741321625
13.7.37    10    125    4    (38, 207)        0.141421356237
13.7.37    10    125    5    (309, 44)        0.141421356237
13.7.37    10    125    6    (159, 74)        0
13.7.37    10    126    1    (379, 199)        0.282842712475
13.7.37    10    126    2    (277, 61)        0.0
13.7.37    10    126    3    (24, 248)    North-West    4.74341649025
13.7.37    10    126    4    (227, 140)        0.0
13.7.37    10    126    5    (309, 44)        0.141421356237
13.7.37    10    126    6    (158, 74)        0
13.7.37    10    126    7    (47, 167)        0
13.7.37    10    126    8    (94, 64)        0
13.7.37    10    127    1    (380, 199)        0.2
13.7.37    10    127    2    (278, 61)        0.0
13.7.37    10    127    3    (26, 246)    North-West    3.75765884561
13.7.37    10    127    4    (227, 141)        0.1
13.7.37    10    127    5    (310, 44)        0.22360679775
13.7.37    10    127    6    (158, 75)        0
13.7.37    10    127    7    (47, 167)        0
13.7.37    10    127    8    (94, 64)        0
13.7.38    10    128    1    (380, 199)        0.0
13.7.38    10    128    2    (283, 64)        0.67082039325
13.7.38    10    128    3    (30, 246)    North-West    2.2627416998
13.7.38    10    128    4    (227, 140)        0.0
13.7.38    10    128    5    (309, 44)        0.141421356237
13.7.38    10    128    6    (158, 76)        0
13.7.38    10    128    7    (46, 166)        0
13.7.38    10    128    8    (94, 64)        0
13.7.38    10    129    1    (380, 199)        0.1
13.7.38    10    129    2    (31, 245)    North    2.06155281281
13.7.38    10    129    3    (227, 141)        0.1
13.7.38    10    129    4    (310, 44)        0.22360679775
13.7.38    10    129    5    (158, 76)        0.0
13.7.38    10    129    6    (47, 167)        0
13.7.38    10    129    7    (95, 64)        0
13.7.38    10    130    1    (286, 66)        1.0295630141
13.7.38    10    130    2    (32, 245)        0.538516480713
13.7.38    10    130    3    (223, 133)        0.80622577483
13.7.38    10    130    4    (310, 44)        0.1
13.7.38    10    130    5    (157, 82)        0.60827625303
13.7.38    10    130    6    (48, 167)        0
13.7.38    10    130    7    (94, 64)        0
13.7.39    10    131    1    (287, 66)        1.0295630141
13.7.39    10    131    2    (33, 246)        0.921954445729
13.7.39    10    131    3    (223, 134)        0.721110255093
13.7.39    10    131    4    (310, 45)        0.141421356237
13.7.39    10    131    5    (157, 81)        0.509901951359
13.7.39    10    131    6    (49, 167)        0
13.7.39    10    131    7    (94, 64)        0
13.7.39    10    131    8    (318, 261)        0
13.7.39    10    131    9    (341, 60)        0
13.7.39    10    132    1    (289, 69)    East    1.44222051019
13.7.39    10    132    2    (32, 245)        0.60827625303
13.7.39    10    132    3    (221, 127)    North    1.52315462117
13.7.39    10    132    4    (310, 44)        0.0
13.7.39    10    132    5    (158, 85)        0.9
13.7.39    10    132    6    (49, 167)        0
13.7.39    10    132    7    (92, 62)        0
13.7.39    10    132    8    (314, 262)        0
13.7.39    10    132    9    (341, 60)        0
13.7.39    10    133    1    (290, 70)    East    1.5
13.7.39    10    133    2    (32, 246)        0.2
13.7.39    10    133    3    (220, 121)    North    2.02484567313
13.7.39    10    133    4    (310, 45)        0.141421356237
13.7.39    10    133    5    (159, 88)    South    1.20415945788
13.7.39    10    133    6    (51, 172)        0
13.7.39    10    133    7    (90, 60)        0
13.7.39    10    133    8    (313, 262)        0
13.7.39    10    133    9    (341, 60)        0
