13.10.25    10    681    1    (389, 93)        0.0
13.10.25    10    681    2    (253, 124)        0.67082039325
13.10.25    10    681    3    (116, 46)        0.0
13.10.25    10    681    4    (354, 194)        1.28062484749
13.10.25    10    681    5    (24, 210)        0
13.10.25    10    681    6    (75, 56)        0
13.10.25    10    681    7    (94, 222)        0
13.10.25    10    681    8    (156, 167)        0
13.10.25    10    682    1    (386, 89)        0.4472135955
13.10.25    10    682    2    (253, 123)        0.424264068712
13.10.25    10    682    3    (117, 46)        0.1
13.10.25    10    682    4    (353, 194)        1.20415945788
13.10.25    10    682    5    (24, 210)        0
13.10.25    10    682    6    (75, 55)        0
13.10.25    10    682    7    (94, 223)        0
13.10.25    10    682    8    (156, 167)        0
13.10.25    10    683    1    (384, 87)        0.721110255093
13.10.25    10    683    2    (251, 118)        0.943398113206
13.10.25    10    683    3    (117, 46)        0.1
13.10.25    10    683    4    (354, 194)        1.22065556157
13.10.25    10    683    5    (24, 209)        0
13.10.25    10    683    6    (75, 56)        0
13.10.25    10    683    7    (94, 223)        0
13.10.25    10    683    8    (156, 168)        0
13.10.26    10    684    1    (384, 87)        0.781024967591
13.10.26    10    684    2    (251, 114)    North    1.26491106407
13.10.26    10    684    3    (117, 46)        0.1
13.10.26    10    684    4    (354, 194)        1.20415945788
13.10.26    10    684    5    (24, 210)        0
13.10.26    10    684    6    (74, 53)        0.0
13.10.26    10    684    7    (94, 222)        0
13.10.26    10    684    8    (149, 170)        0
13.10.26    10    685    1    (384, 87)        0.80622577483
13.10.26    10    685    2    (250, 114)        1.04403065089
13.10.26    10    685    3    (116, 43)        0.2
13.10.26    10    685    4    (24, 209)        0
13.10.26    10    685    5    (75, 53)        0.1
13.10.26    10    685    6    (95, 222)        0
13.10.26    10    685    7    (143, 168)        0
13.10.26    10    686    1    (384, 88)        0.707106781187
13.10.26    10    686    2    (252, 114)        1.00498756211
13.10.26    10    686    3    (354, 195)        0.5
13.10.26    10    686    4    (26, 213)        0.0
13.10.26    10    686    5    (75, 52)        0.141421356237
13.10.26    10    686    6    (94, 222)        0
13.10.26    10    686    7    (144, 169)        0
13.10.26    10    686    8    (111, 53)        0
13.10.26    10    687    1    (384, 88)        0.22360679775
13.10.26    10    687    2    (251, 114)        0.921954445729
13.10.26    10    687    3    (354, 194)        0.0
13.10.26    10    687    4    (26, 213)        0.0
13.10.26    10    687    5    (75, 52)        0.141421356237
13.10.26    10    687    6    (91, 221)        0
13.10.26    10    687    7    (144, 169)        0
13.10.26    10    687    8    (111, 53)        0
13.10.27    10    688    1    (383, 88)        0.141421356237
13.10.27    10    688    2    (252, 116)        0.22360679775
13.10.27    10    688    3    (354, 194)        0.1
13.10.27    10    688    4    (29, 216)        0.424264068712
13.10.27    10    688    5    (73, 50)        0.316227766017
13.10.27    10    688    6    (92, 221)        0
13.10.27    10    688    7    (144, 170)        0
13.10.27    10    688    8    (111, 53)        0
13.10.27    10    689    1    (384, 87)        0.0
13.10.27    10    689    2    (254, 116)        0.360555127546
13.10.27    10    689    3    (354, 195)        0.1
13.10.27    10    689    4    (29, 216)        0.424264068712
13.10.27    10    689    5    (71, 49)        0.5
13.10.27    10    689    6    (91, 222)        0.0
13.10.27    10    689    7    (143, 168)        0.0
13.10.27    10    689    8    (112, 54)        0
13.10.27    10    690    1    (384, 88)        0.1
13.10.27    10    690    2    (256, 117)        0.67082039325
13.10.27    10    690    3    (354, 194)        0.0
13.10.27    10    690    4    (29, 216)        0.424264068712
13.10.27    10    690    5    (71, 48)        0.640312423743
13.10.27    10    690    6    (92, 222)        0.1
13.10.27    10    690    7    (142, 160)        0.80622577483
13.10.27    10    690    8    (113, 54)        0
13.10.28    10    691    1    (383, 87)        0.141421356237
13.10.28    10    691    2    (256, 117)        0.5
13.10.28    10    691    3    (355, 195)        0.1
13.10.28    10    691    4    (29, 217)        0.5
13.10.28    10    691    5    (71, 49)        0.5
13.10.28    10    691    6    (91, 221)        0.1
13.10.28    10    691    7    (143, 161)        0.7
13.10.28    10    691    8    (114, 54)        0
13.10.28    10    691    9    (57, 126)        0
13.10.28    10    691    10    (353, 72)        0
13.10.28    10    692    1    (384, 88)        0.0
13.10.28    10    692    2    (256, 117)        0.583095189485
