13.7.2    10    1    1    (47, 189)        0
13.7.2    10    1    2    (225, 133)        0
13.7.2    10    1    3    (197, 64)        0
13.7.2    10    1    4    (372, 156)        0
13.7.2    10    1    5    (81, 76)        0
13.7.2    10    2    1    (47, 188)        0
13.7.2    10    2    2    (225, 133)        0
13.7.2    10    2    3    (198, 64)        0
13.7.2    10    2    4    (372, 156)        0
13.7.2    10    2    5    (81, 76)        0
13.7.2    10    3    1    (46, 188)        0
13.7.2    10    3    2    (226, 133)        0
13.7.2    10    3    3    (199, 63)        0
13.7.2    10    3    4    (373, 156)        0
13.7.2    10    3    5    (81, 76)        0
13.7.2    10    4    1    (47, 189)        0
13.7.2    10    4    2    (225, 133)        0
13.7.2    10    4    3    (199, 63)        0
13.7.2    10    4    4    (373, 156)        0
13.7.2    10    4    5    (81, 76)        0
13.7.2    10    5    1    (47, 188)        0
13.7.2    10    5    2    (216, 107)        0
13.7.2    10    5    3    (200, 63)        0
13.7.2    10    5    4    (373, 156)        0
13.7.2    10    5    5    (81, 76)        0
13.7.3    10    6    1    (46, 188)        0
13.7.3    10    6    2    (211, 91)        0
13.7.3    10    6    3    (198, 59)        0
13.7.3    10    6    4    (373, 156)        0
13.7.3    10    6    5    (74, 53)        0
13.7.3    10    6    6    (302, 58)        0
13.7.3    10    6    7    (302, 243)        0
13.7.3    10    7    1    (47, 188)        0
13.7.3    10    7    2    (208, 73)        0
13.7.3    10    7    3    (197, 57)        0
13.7.3    10    7    4    (373, 156)        0
13.7.3    10    7    5    (68, 33)        0
13.7.3    10    7    6    (302, 57)        0
13.7.3    10    7    7    (302, 243)        0
13.7.3    10    8    1    (47, 188)        0
13.7.3    10    8    2    (204, 65)        0
13.7.3    10    8    3    (198, 57)        0
13.7.3    10    8    4    (373, 156)        0
13.7.3    10    8    5    (65, 23)        0
13.7.3    10    8    6    (302, 57)        0
13.7.3    10    8    7    (303, 243)        0
13.7.3    10    9    1    (48, 187)        0.0
13.7.3    10    9    2    (204, 64)        0.0
13.7.3    10    9    3    (197, 55)        0.0
13.7.3    10    9    4    (373, 156)        0.0
13.7.3    10    9    5    (66, 23)        0.0
13.7.3    10    9    6    (302, 57)        0
13.7.3    10    9    7    (303, 243)        0
13.7.4    10    10    1    (52, 192)        0.640312423743
13.7.4    10    10    2    (197, 57)        0.989949493661
13.7.4    10    10    3    (198, 54)        0.141421356237
13.7.4    10    10    4    (374, 156)        0.1
13.7.4    10    10    5    (66, 23)        0.0
13.7.4    10    10    6    (302, 57)        0
13.7.4    10    10    7    (302, 217)        0
