13.10.45    10    747    1    (170, 196)        0.1
13.10.45    10    747    2    (83, 204)        0.538516480713
13.10.45    10    747    3    (118, 111)    North    1.36014705087
13.10.45    10    747    4    (66, 41)        0.2
13.10.45    10    747    5    (73, 54)        0.141421356237
13.10.45    10    747    6    (286, 133)        0.3
13.10.45    10    747    7    (213, 61)        0.8
13.10.45    10    747    8    (351, 210)    North    2.24722050542
13.10.45    10    747    9    (263, 22)        0.0
13.10.45    10    747    10    (55, 128)        0.0
13.10.45    10    747    11    (124, 68)        0.1
13.10.45    10    747    12    (181, 123)        0
13.10.45    10    747    13    (311, 58)        0
13.10.45    10    747    14    (111, 54)        0
13.10.46    10    748    1    (172, 208)    South    1.3152946438
13.10.46    10    748    2    (82, 203)        0.4472135955
13.10.46    10    748    3    (118, 112)        0.67082039325
13.10.46    10    748    4    (66, 41)        0.22360679775
13.10.46    10    748    5    (73, 54)        0.0
13.10.46    10    748    6    (286, 132)        0.22360679775
13.10.46    10    748    7    (214, 61)        0.8
13.10.46    10    748    8    (352, 211)    North    2.15406592285
13.10.46    10    748    9    (264, 22)        0.1
13.10.46    10    748    10    (55, 128)        0.0
13.10.46    10    748    11    (126, 73)        0.4472135955
13.10.46    10    748    12    (181, 123)        0
13.10.46    10    748    13    (311, 58)        0
13.10.46    10    748    14    (112, 54)        0
13.10.46    10    749    1    (172, 208)    South    1.21655250606
13.10.46    10    749    2    (79, 203)        0.316227766017
13.10.46    10    749    3    (114, 107)        0.640312423743
13.10.46    10    749    4    (66, 41)        0.424264068712
13.10.46    10    749    5    (73, 53)        0.1
13.10.46    10    749    6    (285, 133)        0.0
13.10.46    10    749    7    (213, 60)        0.707106781187
13.10.46    10    749    8    (353, 211)        0.707106781187
13.10.46    10    749    9    (267, 28)        0.721110255093
13.10.46    10    749    10    (56, 128)        0.1
13.10.46    10    749    11    (126, 74)        0.538516480713
13.10.46    10    749    12    (187, 141)        0.0
13.10.46    10    749    13    (311, 57)        0.0
13.10.46    10    749    14    (112, 54)        0
13.10.46    10    750    1    (172, 208)    South    1.3152946438
13.10.46    10    750    2    (79, 204)        0.4
13.10.46    10    750    3    (114, 107)        0.640312423743
13.10.46    10    750    4    (66, 41)        0.424264068712
13.10.46    10    750    5    (72, 53)        0.141421356237
13.10.46    10    750    6    (285, 132)        0.141421356237
13.10.46    10    750    7    (212, 60)        0.22360679775
13.10.46    10    750    8    (352, 211)        0.316227766017
13.10.46    10    750    9    (268, 28)        0.707106781187
13.10.46    10    750    10    (60, 130)        0.538516480713
13.10.46    10    750    11    (187, 141)        0.0
13.10.46    10    750    12    (310, 58)        0.141421356237
13.10.46    10    750    13    (112, 54)        0
13.10.47    10    751    1    (171, 208)    South    1.20415945788
13.10.47    10    751    2    (79, 204)        0.4
13.10.47    10    751    3    (112, 101)    North    1.25299640861
13.10.47    10    751    4    (66, 41)        0.1
13.10.47    10    751    5    (285, 133)        0.141421356237
13.10.47    10    751    6    (210, 61)        0.22360679775
13.10.47    10    751    7    (352, 211)        0.4
13.10.47    10    751    8    (268, 29)        0.860232526704
13.10.47    10    751    9    (186, 142)        0.141421356237
13.10.47    10    751    10    (311, 58)        0.1
13.10.47    10    751    11    (113, 54)        0
13.10.47    10    751    12    (58, 131)        0
13.10.47    10    752    1    (171, 209)    South    1.30384048104
13.10.47    10    752    2    (79, 204)        0.4
13.10.47    10    752    3    (112, 101)        1.16619037897
13.10.47    10    752    4    (73, 53)        0.141421356237
13.10.47    10    752    5    (285, 133)        0.1
13.10.47    10    752    6    (211, 61)        0.2
13.10.47    10    752    7    (353, 211)        0.22360679775
13.10.47    10    752    8    (126, 73)        0.4472135955
13.10.47    10    752    9    (187, 141)        0.0
13.10.47    10    752    10    (311, 58)        0.1
13.10.47    10    752    11    (114, 55)        0
13.10.47    10    752    12    (58, 131)        0
13.10.47    10    753    1    (173, 210)        0.22360679775
13.10.47    10    753    2    (79, 203)        0.3
13.10.47    10    753    3    (112, 100)    North    1.3416407865
13.10.47    10    753    4    (73, 53)        0.1
13.10.47    10    753    5    (285, 133)        0.141421356237
13.10.47    10    753    6    (354, 211)        0.2
13.10.47    10    753    7    (126, 74)        0.538516480713
13.10.47    10    753    8    (186, 142)        0.141421356237
